"accessno","subject"
"0000000311","Christianity - United States - Controversial Liter"
"0000000312","Computer Program - Microsoft Windows 3.1"
"0000000313","Kroehler, Carolyn J."
"0000000313","Vander Zanden, James W."
"0000000314","Education, Higher - United States - Administration"
"0000000314","Educational Change - United States"
"0000000314","College - School Coopreation"
"0000000314","Higher Education And State - United States"
"0000000315","English Lanuage - Study Ang Teaching"
"0000000317","Filipino Language - Usage"
"0000000318","Reading Comprehension"
"0000000319","Social Studies - Study And Teaching"
"0000000320","Higher Education"
"0000000321","Development Psychology"
"0000000322","Physics"
"0000000323","Search And Rescue Operations - Juvenille Literatur"
"0000000324","Reading [eementary]"
"0000000325","Teaching"
"0000000326","Macroeconomics"
"0000000327","Reading Comprehension"
"0000000328","Reading"
"0000000329","Reading Comprehension"
"0000000330","Filipino Language - Usage"
"0000000331","Reading Comprehension"
"0000000332","Reading"
"0000000333","Reading Comprehension"
"0000000334","Filipino Language - Study And Teaching"
"0000000335","Reading Comprehension"
"0000000336","Reading"
"0000000337","Reading Comprehension"
"0000000338","Filipino Language - Usage"
"0000000339","Reading Comprehension"
"0000000340","Programming Languages (comuters)"
"0000000341","Physical Education - Study And Teaching"
"0000000342","Data Files"
"0000000343","Science"
"0000000344","English Language - Composition And Exercises"
"0000000345","Biology"
"0000000346","Physical Fitness"
"0000000346","Gymnastics"
"0000000346","Music"
"0000000347","Home Economics And Family Living"
"0000000348","Home Economics And Family Living"
"0000000349","History - Asia"
"0000000350","Home Economics - Technology"
"0000000351","Mathematics"
"0000000352","Mathematics"
"0000000353","Mathematics"
"0000000354","Mathematics"
"0000000355","Teaching - Life Of Jesus"
"0000000356","History - Asia"
"0000000358","Preaching (homiletics)"
"0000000359","Bugtong"
"0000000360","Biography - Romero, Jose E."
"0000000361","Pilipinas, Pahapyaw Na Kasaysayan"
"0000000361","Presidente - Pilipinas"
"0000000362","Family Life Surveys - Manila"
"0000000362","Values"
"0000000362","Family Life Education - Manila"
"0000000364","Biograpiya - Rizal, Jose P."
"0000000365","Philippines - Filipino History"
"0000000367","Physical Fitness"
"0000000367","Music"
"0000000367","Health"
"0000000368","Spiritual Healing"
"0000000369","Luna, Antonio - Biography"
"0000000369","Rise And Fall - Philippines - Biography"
"0000000370","Lim, Estefania Aldaba - Biography"
"0000000370","Women Public Officers - Philippines - Biography"
"0000000371","Bible - O.t. - History Of Biblical Evevts"
"0000000371","O.t. - Liberation"
"0000000372","Catholic Church - Liturgy"
"0000000372","Church Renewal - Catholic Church"
"0000000372","Catholic Church - Membership"
"0000000373","Spiritual Healing"
"0000000374","God - God The Father"
"0000000375","N.t. - Matthew"
"0000000375","N.t. - Mark"
"0000000375","N.t. - Luke"
"0000000376","N.t. - John"
"0000000377","Jesus, Parables Of."
"0000005004","Human Resources"
"0000005008","Marcos, Imelda Romualdez, 1929 - Biography"
"0000005009","Marcos, Ferdinand E. - Biography"
"0000050010","Synonyms"
"0000050010","Synonyms, antonyms, homonyms - Dictionaries"
"0000500010","Bible - Study and teaching"
"0000050011","Cooking recipes"
"0000050012","Rizal, Jose P. - Biography"
"0000050013","Collections - Miscellaneous writings"
"0000050014","New Constitution and administrative law"
"0000050016","Filipino Heroes - Biographies"
"0000050017","Philippines - History - Insurrection, 1896 - 1898"
"0000050018","Physical fitness"
"0000050018","Gymnastics"
"0000050018","Population Education"
"0000050018","Music"
"0000750019","World History"
"0000050020","Philippines - History - 1812-1898 - Propaganda"
"0000050020","Propaganda movement - Philippines"
"0000050021","Rizal, Jose P.  - Biography"
"0000050022","Moral education"
"0000050023","Christian Education"
"0000050024","Religious education"
"0000050025","Christian education"
"0000050026","Religious education"
"0000050027","Moral education"
"0000050028","Moral education"
"0000050029","Computer programming"
"0000050030","Computer literacy"
"0000050031","Moral education"
"0000050032","Moral education"
"0000050033","Moral education"
"0000050034","Moral education"
"0000050035","Computer literacy"
"0000050036","Computer literacy"
"0000050037","Christian education"
"0000050038","Word processing software"
"0000050039","Computer programming"
"0000050040","Moral education"
"0000050041","Christian education"
"0000050042","Christian education"
"0000050043","Christian education"
"0000050044","Christian education"
"0000007000","Computer Literacy"
"0000007001","Handwriting"
"0000007003","Test"
"0000007005","Moral education"
"0000007007","Moral edication"
"0000007008","Handwriting"
"0000000709","Handwriting"
"0000007010","Handwriting"
"0000007014","Christian education"
"0000007015","Social values"
"0000007016","Moral education"
"0000007017","Moral education"
"0000007018","Moral education"
"0000007019","Moral education"
"0000007020","Collections - Miscellaneous writings"
"0000007021","Cooking - Recipes"
"0000007022","Handwriting"
"0000007023","Computer literacy"
"0000007036","Computer software"
"0000007047","Bible"
"0000007048","Politicians - Philippines - Biography"
"0000007049","Filipino language - Usage"
"0000007050","Filipino language - Grammar"
"0000007051","Child rearing"
"0000007051","Home management Food and nutrition"
"0000007052","Filipino language - Usage"
"0000007053","Filipino language - Usage"
"0000007054","Filipino language - Grmmar"
"0000007055","Church History - St. Augustine Baliuag, Bulacan"
"0000007056","Filipino language - Usage"
"0000007057","Filipino language - Usage"
"0000007058","Moral education"
"0000007061","History - Philippines"
"0000007062","Law and ethics"
"0000007063","Heroism - Liteterature"
"0000007065","History - Baliuag"
"0000007066","Christian social and ecclesiastical theology"
"0000007070","Debts, External - Philippines"
"0000007070","Loans, Foreign - Philippines"
"0000007071","Ecology - Law"
"0000007072","Economics situations and conditions"
"0000007073","World History"
"0000007074","History - Philippines"
"0000007075","Philippines - History"
"0000007077","Human behavior"
"0000007078","Music"
"0000007078","Art and Physical Education - Study and teaching"
"0000007079","Filipino values"
"0000007080","Home economics - technology"
"0000007080","Household management"
"0000007081","Sining ng komunikasyon"
"0000007082","Science and technology"
"0000007083","Cooking processes and techniques"
"0000007084","Home economics"
"0000007085","Data processing"
"0000007086","Teaching and teaching personnel"
"0000007087","Programming"
"0000007088","Computer literacy - children"
"0000007089","Coordination and control"
"0000007089","Socialization"
"0000007090","Social change"
"0000007091","Cooperative education"
"0000007092","Word procesing"
"0000007093","Community action"
"0000007094","Values education"
"0000007095","Ethics"
"0000007096","Guiness Word Records"
"0000007097","Aromatic and sweet herbs"
"0000007098","Values education"
"0000007099","Numeration system"
"0000007100","Computer"
"0000007101","Life of Jesus"
"0000007102","Data mangement - Computer programs"
"0000007103","Values education"
"0000007103","Self-contained communities"
"0000007104","Microcomputers"
"0000007105","Digital microcomputers"
"0000007106","English language - Grammar"
"0000007107","God - Love and wisdom"
"0000007108","Family - Religious life"
"0000007109","Ways of knowing God"
"0000007110","Faith and hope"
"0000007111","Fiction"
"0000007112","Science - study and teaching"
"0000007118","English drama - William Shakespeare - Tragedies"
"0000007120","English Drama - William Shakespeare - Comedies"
"0000007126","Mongols -- History"
"0000007126","Japan -- History"
"0000007126","Egypt -- History"
"0000007126","Europe -- History"
"0000007126","World History -- 1200-1300 A.D."
"0000007127","Japan -- History"
"0000007127","China -- History"
"0000007127","Persia -- History"
"0000007127","Civil War -- England"
"0000007127","Netherlands -- History"
"0000007127","America -- Discovery and exploration"
"0000007127","World History -- 1600-1700 AD"
"0000007128","France -- History"
"0000007128","Britain -- History"
"0000007128","Latin America -- History"
"0000007128","China -- History"
"0000007128","South Africa -- History"
"0000007128","History, Modern -- 1800-1850 (19th Century)"
"0000007129","History, Modern -- 1925-1950 (20th century)"
"0000007129","Dictators"
"0000007129","World war, 1939-1945"
"0000007129","India -- History"
"0000007129","China -- History"
"0000007130","contents : v. 1. Stories and poems"
"0000007130","The green kingdom"
"0000007130","about animals"
"0000007130","Nature in danger"
"0000007130","Your body"
"0000007130","Our world"
"0000007130","The Universe"
"0000007130","Discovering science"
"0000007130","Science at work"
"0000007130","Mathemagic"
"0000007130","People and places"
"0000007130","World of colour"
"0000007130","Exploring the past"
"0000007130","Make and do"
"0000007130","Art around us"
"0000007130","Parent guide and index"
"0000007131","Ocean travels"
"0000007131","Renaisance -- Italy"
"0000007131","Constantinople, the fall of"
"0000007131","Wars -- Bohemia"
"0000007131","Empires, Hindu"
"0000007131","Empires Central American"
"0000007131","World History -- 1400 -1500"
"0000007133","Vietnam - War experience"
"0000007134","Weber, Louis"
"0000007135","Gospel and acts"
"0000007135","John"
"0000007136","Farm life - Iowa"
"0000007136","Iowa - Biography"
"0000007136","Values - United States"
"0000007137","People's almanac"
"0000007139","Natural sciences"
"0000007140","Annual-Encyclopedia Americana"
"0000007141","Research writing"
"0000007142","Science - Experiments"
"0000007143","English Fic."
"0000007145","Music-Study and Teaching"
"0000007145","Art-Study and Teaching"
"0000007145","Physical education"
"0000007146","Books of miscellaneous facts"
"0000007147","Solar system--Miscallanea--Juvenile Literature"
"0000007148","Time Almanac"
"0000007149","Europe-Politics and government-1918-1945 Handbook"
"0000007149","Europe-Politics and government-1945-Handbooks"
"0000007149","International agencies-Handbooks,manuals,etc."
"0000007150","Grills cooking - Vegetables"
"0000007151","Computer peripherals"
"0000007151","Computer operating systems"
"0000007151","Computer terminal"
"0000007151","Computer literacy"
"0000007152","Gospel and Acts"
"0000007152","John"
"0000007153","Americana Annual"
"0000007154","New Book of Knowledge Annual"
"0000007156","World History 600-800 A.D."
"0000007156","Islam--History"
"0000007156","Europe--History"
"0000007156","China--History"
"0000007156","Japan--History"
"0000007159","Cognition ( Knowldge )"
"0000007160","Political activists - Philippines- Biography"
"0000007157","Human Behavior - Anecdotes"
"0000007161","Youmgs, Bettie B. - Anecdotes"
"0000007161","Human behavior - Anecdotes"
"0000007162","Jesus Christ - Biography"
"0000007163"," etc."
"0000007164","Instruction & study, methods of.,"
"0000007164","Curriculum"
"0000007167","Garden crops (Horticulture)"
"0000007167","Vegetables"
"0000007168","History - Filipino martyrs"
"0000007173","Maternity nursing"
"0000007173","Pediatric nursing"
"0000007173","Maternal child nursing"
"0000007173","Family health"
"0000007174","Database management - systems"
"0000007175","Market segmentation - United States"
"0000007176","Personnel management"
"0000007177","History, Modern -- 1900-1925 (20th Century)"
"0000007177","World war -- 1914-1918"
"0000007177","Soviet Union -- History"
"0000007177","Middle East -- History"
"0000007177","Japan -- History"
"0000007177","United States of America -- History"
"0000007178","History, Modern -- 1950-1990 (20th Century)"
"0000007178","Arms control"
"0000007178","Europe -- History"
"0000007178","China -- History"
"0000007178","Africa -- History"
"0000007178","Middle East -- History"
"0000007178","Japan -- History"
"0000007179","History -- Persia"
"0000007179","History -- Greece"
"0000007179","History -- Romans"
"0000007179","History -- Far East"
"0000007179","World History 400-600 B.C"
"0000007180","Asia -- History"
"0000007180","Prussia -- History"
"0000007180","United States of America -- History"
"0000007180","French Revolution"
"0000007180","World History -- 1700-1800 AD"
"0000007181","Europe -- History"
"0000007181","Aztecs -- History"
"0000007181","England -- History"
"0000007181","Russia -- History"
"0000007181","Empire, Ottoman -- History"
"0000007181","Empire, Mughal -- History"
"0000007181","World History -- 1500-1600 AD"
"0000007182","Gospel - Study and teaching"
"0000007183","Questions and answer"
"0000007184","Christian saints - Biography"
"0000007186","Church and education"
"0000007188","History -- Egypt"
"0000007188","History -- Greece"
"0000007188","History -- Asia"
"0000007188","History -- American"
"0000007188","World History 1500 - 600 BC"
"0000007189","Annual - New Book of jnowledge"
"0000007190","Brain blitz - History and geography"
"0000007190","Brain blitz - Mathematcs"
"0000007190","Brain blitz - Literature"
"0000007190","Brain blitz - Music and the Arts"
"0000007190","Brain blitz General information"
"0000007190","Brain blitz Verbal and abstract reasoning"
"0000007190","Brain blitz I.Q. Quiz"
"0000007194","reviews - books"
"0000007195","Supertitions-Philippines"
"0000007196","Israel - the holy land"
"0000007197","World History"
"0000007197","Geography"
"0000007197","History, Ancient"
"0000007197","History, Modern"
"0000007197","Middle Ages - History"
"0000007198","1. Faarmers"
"0000007198","2. Vocational interests"
"0000007199","1.Firefighters"
"0000007199","2. Vocational interests"
"0000007200","1. Journalists"
"0000007200","2. Vocational interests"
"0000007201","1. Priest"
"0000007201","2. Vocationat interests"
"0000007202","none"
"0000007203","1. Scientists"
"0000007203","2. Vocational interests"
"0000007204","1. Techniques of study"
"0000007205","1. Short stories"
"0000007206","1. Police-Vocational guidance"
"0000007206","2. Vocational interests"
"0000007207","none"
"0000007208","1. Physicians"
"0000007208","2. Vocational interests"
"0000007209","1. Entrepreneurship-Vocational guidance"
"0000007209","2. Vocationl interests"
"0000007210","1. Postal service-letter carriers"
"0000007210","2. Vocatonal interests"
"0000007211","1. Architects"
"0000007211","2. Vocational interests"
"0000007212","ASEAN-Philippine"
"0000007213","1. Technological equipment"
"0000007214","1. Sports"
"0000007215","1. Almanac- Philippines"
"0000007216","1. Philippines (events)"
"0000007217","1. Bible"
"0000007218","none"
"0000007220","1. Rocks"
"0000007221","1. Catholicity"
"0000007224","1. Christian Martyrs- Asia"
"0000007224","2. Christian Saints, Asian"
"0000007224","3. Christian Saints-Asia-Biog."
"0000007225","1. Garden crops (Horticulture)"
"0000007226","1. Garden crops (Horticulture)"
"0000007227","1. Mysticism- Early work to 1800"
"0000007227","2. Sermons, German"
"0000007227","3. Sermons,Latin"
"0000007228","Literature - history and criticism"
"0000007229","Literature - History and criticism"
"0000007231","Middle age persons - conduct of life"
"0000007231","Aged - conduct of life"
"0000007233","s"
"0000007234","Animals"
"0000007234","Zoology"
"0000007236","1. Animals"
"0000007237","1. Southeast Asia-Singapore"
"0000007236","2. Endagered Animals"
"0000007236","3. Zoology"
"0000007238","Value (Filipino)"
"0000007239","Physics"
"0000007242","1. Reading and Spelling."
"0000007243","1. Education- Classroom Techniques"
"0000007244","1. Reading"
"0000007245","1. Calisthenics"
"0000007245","2. Isometric exercises"
"0000007240","Education-- Imagination and Creativity."
"0000007246","1. Marriage Counselling"
"0000007247","1. School organization and management"
"0000007249","1. Sacraments (Roman)"
"0000007252","Experimental biology"
"0000007253","Experimental Biology"
"0000007255","1. Chemistry"
"0000007255"," Life sciences"
"0000007256","Earth sciences"
"0000007257","1. Theology--Study and Teaching-- Catholic Church"
"0000007257","2. Catholic Church--Education"
"0000007259","1. Sopcial, folk, national dancing."
"0000007260","1. Philippine Literature"
"0000007262","1. Child Psychology"
"0000007262","2. Children-Psychology"
"0000007263","1. Logarithms"
"0000007263","2. Number Theory"
"0000007263","3. Probabilities"
"0000007263","4.Graph Theory"
"0000007264","Life sciences"
"0000007269","1. Philippine- Revolution"
"0000007270","1. Earth Sciences"
"0000007270","2. Solar Systems"
"0000007271","1. Proverbs"
"0000007271","2. Folklore"
"0000007271","3. Quotations"
"0000007272","1. Reading comprehension"
"0000007273","1. Reading Comprehension"
"0000007274","1. Reading Comprehension"
"0000007275","1. Language, Modern- Study and Teaching"
"0000007276","1. Language, Modern- Study and Teaching"
"0000007277","1. Language, Modern-Study and Teaching"
"0000007278","Language arts"
"0000007279","1. Language arts"
"0000007280","1. Language arts"
"0000007281","1. Language arts."
"0000007282","1. English Language- Composition and Exercise"
"0000007283","1. Language Arts."
"0000007285","1. English language- Pronunciation"
"0000007286","1. Language arts"
"0000007287","1. Language arts"
"0000007289","Language-Modern-Study and Teaching"
"0000007290","1. Language modern- Study and Teaching"
"0000007291","Language arts"
"0000007292","1. Reading comprehension"
"0000007294","1. Language, Modern - Study and Teaching"
"0000007295","1. Statistics"
"0000007297","1. Statistics"
"0000007296","Arithmetic aand geometric progression"
"0000007298","1. Algebraic operations"
"0000007299","Algebra and number theory"
"0000007300","World history..Dictionaries"
"0000007301","1. Bible Story"
"0000007302","Geometry"
"0000007303","Elementary education - Reading"
"0000007304","Astronomy"
"0000007305","Elementary statistics"
"0000007306","Yearbook - Educational technology"
"0000007307","1. Folk dancing, Philippines"
"0000007309","1. Language arts."
"0000007311","1. Childrens questions and answers"
"0000007312","1. Natural history"
"0000000000"," Balance of trade"
"0000000000","Consumption (Economics)"
"0000007312","2. Climate"
"0000007312","3. Sound"
"0000007314","1. Anatomy-Human"
"0000007314","2. Force and energy"
"0000007316","1. English language"
"0000007318","1. Philippine literature"
"0000007319","none"
"0000007320","none"
"0000007321","none"
"0000007322","C++ (Computer program language)"
"0000007324","Nursing management"
"0000007324","Leadership"
"0000007323","none"
"0000007325","Biology"
"0000007326","Computer Science-study and teaching"
"0000007327","Business Ethics- case studies"
"0000007328","1. Physical science"
"0000007328","Database management"
"0000007329","English Fiction"
"0000007330","Systems program, operating system"
"0000007331","Database management"
"0000007333","Community health nursing"
"0000007333","Nursing in the community"
"0000007334","CD-ROM"
"0000007335","Computer literacy"
"0000007336","Perception"
"0000007336","Thought  and Thinking"
"0000007336","Education"
"0000007336","Cognition(Child psychology)"
"0000007337","Web sites (HTML)"
"0000007338","Programs-visual basic 6"
"0000007339","Classification Dewey Decimal"
"0000007340","Computer science"
"0000007340","C(Computer program language)"
"0000007341","Nursing-Outlines, syllabi, etc."
"0000007341","Nursing-Problems, exercises, etc."
"0000007342","Computers"
"0000007342","System software"
"0000007343","1. Faith"
"0000007343","2. Meditation"
"0000007343","3. Sanctification"
"0000007343","4. Life"
"0000007344","1. Christian Church"
"0000007345","1. Reading Comprehension"
"0000007346","1. Statistics"
"0000007347","1. English language-Grammar"
"0000007342","C++ (computer program language)"
"0000007348","1. English language- Grammar"
"0000007342","File Organization (Computer science)"
"0000007349","C++ (Computer program language)"
"0000007349","File Organization (Computer science"
"0000007350","1. Language arts"
"0000007353","Programming languages (Electronic computers)"
"0000007355","1. Language arts"
"0000007356","Java (Computer program language)"
"0000007356","Dat structures (Computer science)"
"0000007356","Computer algorithms"
"0000000000","Free trade and production"
"0000000000","Public finance"
"0000000000","Economic policy"
"0000050048","Programming languages (computers)"
"0000007360","1. Management-Philippines"
"0000007360","2. Planning"
"0000007360","3. Policy making"
"0000007362","1. Research-Methodology"
"0000007362","2. Research-Statistical methods"
"0000007363","Computer Science - Dictionaries"
"0000007364","Database management system"
"0000007364","Programming-Fox Pro 2.5 for Dos"
"0000007366","Science - Study and teaching"
"0000007366","Animal kingdom"
"0000007366","Organs - Functions"
"0000007367","Research - Handbooks, manuals, etc."
"0000007370","Nursing"
"0000007370","Surgical nursing"
"0000007371","Biology"
"0000007372","1. Small business"
"0000007373","1. Work groups"
"0000007374","1. Maathemaatics"
"0000007375","none"
"0000007376","none"
"0000007377","none"
"0000007378","1. Reading Comprehension"
"0000007379","none"
"0000007380","none"
"0000007385","1. English language-Grammar"
"0000007386","1. Language arts"
"0000007387","1. English language-Grammar"
"0000007388","1. Language arts"
"0000007389","1. English language-Examination"
"0000007391","Information storage and retrrieval systems"
"0000007392","Program-Microsoft"
"0000007392","Windows 95"
"0000007392","Word 7"
"0000007392","Excel 7"
"0000007392","Access 7"
"0000007392","Power point"
"0000007392","Schedulet"
"0000007394","1. Language arts"
"0000007395","1. Language arts"
"0000007401","1. Reading Comprehension"
"0000007403","English Fiction"
"0000007404","1. Natural history"
"0000007404","2. Climate"
"0000007404","3. Sound"
"0000007405","Computer Software"
"0000007405","Computer Excel"
"0000007406","Windows (Computer programs)"
"0000007407","Computers Software"
"0000007407","Computer Programs"
"0000007408","System programming and programs"
"0000007410","Animals- Juvenile literature"
"0000007410","English language alphabet- Juvenile literature"
"0000007409","Specific programming languages"
"0000007409","Programs-turbo pascal"
"0000007412","Animals"
"0000007412","Endangered animals"
"0000007412","Zoology"
"0000007411","Del Pilar Pio"
"0000007411","Heroes-Philippines Biography"
"0000007414","Animals"
"0000007414","Zoology"
"0000007413","Computer Programmning Programs data"
"0000007413","Software & Firmware"
"0000007415","Museums-Philippines"
"0000007415","Philippines National Museum"
"0000007416","Computer Science & Internet-Dictionaries"
"0000007417","Geography-Dictionaries"
"0000007421","Research- Methodology"
"0000007421","Research- Statistical method"
"0000007422","Endangered animals"
"0000007422","Zoology"
"0000007423","Mathematics"
"0000007424","Snakes- Juvenile literature"
"0000007424","Lizards- Juvenile literature"
"0000007425","Animals"
"0000007425","Endangered animals"
"0000007425","Zoology"
"0000007426","none"
"0000007427","none"
"0000007428","none"
