"accessno","bibliogra"
"0000000168","June Jamrich Parsons. New Pespective Computer Concepts. Albany : Thomson Learning, c2002."
"0000000170","Jane Beltran. General Psychology. Revised Edition ed. 1996 : Rex Book Store, c1996."
"0000000172","Hector De Leon. Textbook On Agrarian Reform And Taxation (with Cooperatives). 12th Edition ed. Manila : Rex Book Store, c2000."
"0000000173","Stephen Rossetti. I Am Awake. New York : Paulist Press, c1987."
"0000000174","Anil Madaan [et al.]. The Illustrated Computer Dictionary. India : Dreamland Publications, c1998."
"0000000175","The Calling [et al.]. Acoustics Book. Volume One. Second Edition ed. Phoenix, Usa : McGraw-Hill Industries, c1998."
"0000000177",". The Age Of God - Kings : 3000 - 1500 B. C.. [s. N.] : [s. l.], c1987."
"0000000178",". American Library Association. [s.n.] : Test, c1980."
"0000000181",". Mary Of Galilee : Mary In The New Testament. Volume 1. Makati City : St. Pauls, c1997."
"0000000182",". Mary Of Galilee : Mary In The New Testatment. Volume 1. Makati City : St. Pauls, c1997."
"0000000184",". Philippines Handbook. 2nd Ed ed. Chico, California : Moon Publications, c1993."
"0000000185",". Phillipines Handbook. 2nd ed. Chico, California : Moon Publications, c1993."
"0000000187",
"0000000188","Gorman, Michael. The concise AACR2. Volume 1. Chicago : American Library Association, c1989."
"0000000189",". Teaching And Learning In The Elementary School : Focus On Curriculum. Volume 1. Upper Saddle River, New Jersey : Prentice-Hall, c1997."
"0000000190","Reinhartz, Judy [et al.]. Teaching And Learning In The Elementary School : Focus On Curriculum. New Jersey : Prentice-Hall, c1997."
"0000000191","Holman, Jack Philip [et al.]. Heat Transfer. 8th ed. New York : McGraw-Hill, c1997."
"0000000192","Krames, Jeffrey A. The Jack Welch : Lexicon Of Leadership. 1st ed. New York : McGraw-Hill, c2002."
"0000000193","Martin, George Henry. Kinematics And Dynamic Of Machines. 2nd ed. New York : McGraw-Hill, c1982."
"0000000194","Ebbing, Darrel D. Introductory chemistry. 2nd ed. Boston : Houghton Mifflin, c1998."
"0000000195","Forlini, Gary. Prentice Hall Grammar and composition. 4th ed. New Jersey : Prentice Hall, c1990."
"0000000197","Villanueva, Rene O. Bugtong, bugtong. none ed. Makati City : Tahanan Books for Young Readers, c1998."
"0000000198","Werle, Loukie. Low fat : cookbook two. none ed. Australia : G&O Publishing Partners, c1998."
"0000000199","none. Celebrity cook book : low-fat healthy recipes from Australia's top food writers. none ed. Aust"
"0000000200","Bursac, Wilma [et al.]. Cake decorating : Skills series. none ed. Australia : AJ.B. Fairfax Press Pu"
"0000000201","Gust, Dodie. As I take Christ : daily prayer and reflection with Paul. none ed. Pasay City : St. Pau"
"0000000202","Krowles, Desmond. Homilies and prayers of the faithful for the three year cycle. none ed. Ireland :"
"0000000203","La Verdiere, Eugene. Luke. none ed. Pasay City : Daughters of St. Paul, c1980."
"0000000204","Meier, John P. Matthew. none ed. Pasay City : Daughters of St. Paul, c1980."
"0000000205","Harrington, Wilfrid. Mark. 1 ed. Pasay City : Daughters of St. Paul, c1979."
"0000000206","Esler, Mary K. [et al.]. Teaching elementary science. 7th ed. Belmont : Wadsworth Publishing Company"
"0000000207",". The Church Amazing Story With Study Questions And Discussion And Projects Manual. 2nd Rev. ed. Pasay City : Paulines Publishing House, c1997."
"0000000208","Buentrostro, Juan C. Collection management for libraries and information centers. none ed. Quezon Ci"
"0000000209","Frost, Jenny. Creativity in primary science . none ed. Buckingham : Open University Press, c1997."
"0000000210","Driver, Rosalind [et al.]. Young people's images of science. none ed. Buckingham : Open University P"
"0000000211","Morrow, Lesley Mandel. Literacy development in the early years : helping children read and write. 3r"
"0000000212"," [et al.]. Handbook of classroom assesment : learning, achievement and adjustment. none ed. London :"
"0000000213","Seefeldt, Carol. Social studies for the preschool-primary child. 5th ed. New Jersey : Merrill, c1997"
"0000000214","Sperry, Smith Susan. Early childhood mathematics. none ed. Boston : Allyn & Bacon, c1997."
"0000000215","Bough, L. Sue. How to write term papers and reports. 2nd ed. Illinois : VGM Career Horizons, c1997."
"0000000216","Nicol, Gloria. Candles : illuminating ideas for creative candlemaking and enchanting displays. none"
"0000000217","Martinez, Manuel F. A History of Quezon Province. Volume 1. none ed. none : MFM Enterprise, c1999."
"0000000218","Ragans, Rosalind. Art talk. none ed. New York : Glencoe McGraw-Hill, c2000."
"0000000219","Mitter, Gene [et al.]. Understanding art. none ed. New York : Glencoe McGraw-Hill, c1999."
"0000000220","Kawatra, P.S. 2000 Plus Library and Information Systems in the 21st Century. none ed. New Delhi : Cr"
"0000000221","Plate, Joan Kelly [et al.]. Today's teen. 6th ed. New York : Glencoe McGraw-Hill, c2000."
"0000000222","Silberberg, Martin S. Chemistry : the molecular nature of matter & change. 2nd  ed. Boston : McGraw"
"0000000223","Buzz, Pruitt [et al.]. Health : skills for wellness. 3rd ed. Illinois : Prentice Hall, c2001."
"0000000224","Faucher, David. The Baffled parent's guide to coaching youth basketball. none ed. New York : McGraw-"
"0000000225","Cooper, David J. [et al.]. Literacy : helping children construct meaning. 3rd ed. Boston : Houghton"
"0000000226","Cook, Grace [et al.]. Enriching early mathematical learning. none ed. Buckingham : Open University P"
"0000000227","Gorman, Michael. The Concise AACR2. none ed. Chicago : American Library Association, c1989."
"0000000228","none. The Colonial Overlords : A.D. 1850-19001. Volume 1. none ed. USA : Time-Life, c1990."
"0000000229","none. How to write and speak better. none ed. London : The Reader's Digest Association Limited, c199"
"0000000230","Guiness Media. The Guiness book of world records 1998. none ed. New York : Bantam Books, c1998."
"0000000231","Buentrostro, Juan C., Jr. Collection management for libraries & information centers. none ed. Quezon"
"0000000232","Click, Phyllis M. Adminustration of schools for young children. 4th ed. Albany : Delmar Publishers,"
"0000000233","none. The Children's bible. none ed. Manila : St. Pauls, c1990."
"0000000234","none. Catechism for Filipino Catholics. none ed. Manila : Catholic Bishop's Conference of the Philip"
"0000000235","none. Catechism of the Catholic Church. none ed. Manila : Episcopal Commission on Catechesis and Cat"
"0000000236","Buentrostro, Juan C., Jr. Batayang aklat sa librarianship. none ed. Quezon City : Great Books Tradin"
"0000000237","Buby, Bertrand, SM. Mary of Galilee : Mary in the New Testament. Volume 1. Makati City : St. Pauls,"
"0000000238","Buby, Bertrand, SM. Mary of Galilee : Woman of Israel - daughter of Zion. Volume 2. Makati City : St"
"0000000239","none. Dictionary of Multimedia. none ed. New Delhi : UBS Publishers, c1996."
"0000000240","none. The Divine Campaigns : 1100-1200 A.D.. none ed. Amsterdam : Time - Life Books, Inc.,, c1989."
"0000000241","none. Empires Ascendant : 400 B.C. - A.D. 200. none ed. Amsterdam : Time - Life series : History of"
"0000000242","none. Empires Besieged : 200 - 600 A.D.. none ed. Amsterdam : Time - Life Books, Inc.,, c1988."
"0000000243","Papini, Roberto [et al.]. Ethics and economics : religions development and liberation in Asia. none"
"0000000245","none. The Fookien Times 1998 edition Philippines. none ed. Manila : Fookien Times Yearbook Publishin"
"0000000246","none. The Human Dawn. none ed. Amsterdam : Time - Life Books, Inc.,, c1991."
"0000000247","Linn, Matthew [et al.]. Healing the eight stages of life. none ed. Makati City : St. Pauls, c1994."
"0000000248","Long, Larry. Introduction to computers and information processing. 4th ed. USA : Prentice - Hall Int"
"0000000249","McKenzie, John L. Dictionary of the bible. none ed. New York : Macmillan Publishing Company, c1965."
"0000000250","Nicdao, Ruth Merilyn N. [et al.]. Excel for windows. none ed. Quezon City : Book Craft Publishing, c"
"0000000251","Ornstein, Allan C. Strategies for effective teaching. none ed. New York : Harper Collins Publishers,"
"0000000252","Pfaffenberger, Bryan. Que's computer user's dictionary. 3rd ed. USA : Que Corporation, c1993."
"0000000253","Digger, Phelps [et al.]. Basketball For Dummies. Foster City, Ca : IDG Books Worlwide, c1991."
"0000000254","none. The Philippines : a journey through the archipelago. none ed. Singapore : Archipelago Press, c"
"0000000255","La Putt, Juny Pilapil. Introduction to computer concepts. none ed. Baguio City : Baguio Research & P"
"0000000256","Pandile, Oliver. Si Rizal, si Bonifacio at iba pang magigiting na Filipino. none ed. Quezon City : G"
"0000000257","Harper, Peter [et al.]. Philippines handbook. 2nd ed. Chico, CA : Moon Publications, c1993."
"0000000258","Hernandez, Amado V. Luha ng buwaya. none ed. Quezon City : Ateneo De Manilla University Press, c1974"
"0000000259","de Dios, Emmanuel S. [et al.]. Of bonds and bondage : a reader on Philippine debt. none ed. none : P"
"0000000260","none. Better homes and gardens : new cook book. 11th ed. New York : Bantam Books, c1989."
"0000000261","Sevilla, Ignacio J. [et al.]. Calculus : differential and integral part 2. none ed. Quezon City : Ro"
"0000000262","Bautista, Lualhati. Gapo : at  isang puting Pilipino, sa mundo mga Amerikanong kulay brown. none ed."
"0000000263","Bautista, Lualhati. Dekada '70. none ed. Mandaluyong City : Carmelo & Bavermann Printing Corporation"
"0000000264","Bautista, Lualhati. Bata, Bata... Pa'no Ka Ginawa?. Metro Manila : MG Reprographics, c1983."
"0000000265","none. Venice : an illustrated guide to the city. none ed. Narni : Plirigraf, c1981."
"0000000266",". Six Young Filipino Martyrs. Quezon City : Anvil, c1997."
"0000000267","Siegel, Sidney [et al.]. Nonparametric statistics for the behavioral sciences. 2nd ed. New York : Mc"
"0000000268","Powell, Thomas A. The Complete Reference Web Design. none  ed. Osborne : McGraw-Hill, c2000."
"0000000269","Powell, Thomas A. HTML : The complete reference. 3rd  ed. Osborne : McGraw-Hill, c2001."
"0000000270","Schildt, Herbert. The complete reference Java 2. 4th ed. Osborne : McGraw-Hill, c2001."
"0000000271","Jones, Anne G. Your eyes. none ed. Ohio : Modern Curriculum Press, c1992."
"0000000272","Martin, George H. Kinematics and dynamics of machines. 2nd ed. New York : McGraw-Hill, c1982."
"0000000273","White, Chris [et al.]. The name of the game is... basketball. none ed. USA : Aussie Sport Books, c19"
"0000000274","none. Who is the Filipino : 1999 Philippines Yearbook. none ed. Manila : Fookien Times Yearbook Publ"
"0000000275","Esler, William K. [et al.]. Teaching elementary science. 7th  ed. Belmont : Wadsworth Publishing Com"
"0000000276","none. ALA filing rules. none ed. USA : American Library Association, c1980."
"0000000277","Bucad, Merlinda. Business basics 2 . none ed. Makati City : Diwa Learning Systems, Inc., c2001."
"0000000278","Kearn, George. American Literature. none ed. New York : Scribner Educational Publishers, c1984."
"0000000279","Baclig, Ma. Josefina. Setting up a food business 1. none ed. Makati City : Diwa Learning Systems Inc"
"0000000280","Casihan, Luvimi L. [et al.]. Setting up a food business 2. none ed. Makati City : Diwa Learning Syst"
"0000000281","Guillermo, Ramon. Ang Kasaysayan at pamahalaan ng Pilipinas. 2nd ed. Manila : IBON Foundation, Inc.,"
"0000000282","San Pedro, Azucena [et al.]. Science 111 : Chemistry for Philippine High Schools. none ed. Sta Cruz,"
"0000000284","Calderon, Jose F. Basic mathematics 1. none ed. Quezon City : Great Books Trading, c1994."
"0000000285","Caintic, Helen C. [et al.]. Physics and technology. none ed. Quezon City : Marren Publishing House,"
"0000000286","none. The Philippines Yearbook 2002. none ed. Manila : The Fookien Times, c2002."
"0000000287","Antonio, Eleanor D. [et al.]. Pana-panahon 1, worktext para sa Araling Panlipunan 1. none ed. Manila"
"0000000288","Jamero, Dolores F. Noli me tangere. none ed. Sta. Mesa, Manila : Saint Bernadette Publication, c2000"
"0000000289","Acelajado, Maxima J. [et al.]. Mathematics for the new millenium. 3rd ed. Makati City : Diwa Learnin"
"0000000290","Hernandez, Amado V. Mga Ibong mandaragit . none ed. Manila : M&L Licudine Enterprises, c1982."
"0000000579","Go, Josiah. Marketing Mix : Strategy in the Philippine Setting. [s.n.] : [s.l.], c1992."
"0000000582","Go, Josiah. Marketing mix : strategy in the Philippine setting. [s.n.] : [s.l.], c1992."
"0000000583","Kotler, Philip [et al.]. Principles of marketing. 8th ed. Singapore : Prentice Hall, c1999."
"0000000584","Kotler, Philip [et al.]. Principles of marketing. 8th ed. Singapore : Prentice Hall, c1999."
"0000000586","Not found."
"0000000588","Go, Josiah. Marketing mix : strategy in the Philippine setting. [s.n.] : [s.l.], c1992."
"0000000589","Kotler, Philip [et al.]. Principles of marketing. 8th ed. Singapore : Prentice Hall, c1999."
"0000000590",
"0000000594","Smith, Raymond. Test Title. Volume 2. First ed. Philippines : McGraw-Hill, c2004."
"0000000596","Kismo, John. TEST.BOOK III. Volume 2. 1 ed. Quezon City : Philippines Rabbit, c2000."
"0000000597","Vell, Michael. TESTEROV III. Volume 1. 1 ed. Destination : SCIENCE, c2004."
"0000000602",
"0000000604","Go, Josiah. Marketing Mix : Strategy in the Philippine Setting. [s.n.] : [s.l.], c1992."
"0000000605","Not found."
"0000000606","Not found."
"0000000616","Go, Josiah. Marketing Mix : Strategy in the Philippine Setting. [s.n.] : [s.l.], c1992."
"0000000617","Kotler, Philip [et al.]. Principles of marketing. 8th ed. Singapore : Prentice Hall, c1999."
"0000000618","McLeod, Fiona [et al.]. Non-stop creativity and innovation:  how to generate winning ideas. London :"
"0000000627","Not found."
"0000000653",
"0000000709","Domingo, Lorna. Mastering penmanship : a worktext in writing for grade 5. Quezon City : Aklat Publishing House, c2001."
"0000000731","Pasimio, Renato R. Prtnership and corporation. 2000 ed. Mandaluyong City : National Book Store, c200"
"0000000742","Philip,george. Philip's geography dictionary : over 1500 entries, clear and concise def., 50 illus. & maps, infor.tables. London : Reed International Books Limited, c1995."
"0000000819","Baker, Sue 1952- [et al.]. Principles of hotel front office operations. Australia : Hospitality Press, c1998."
"0000001167","Not found."
"0000001624","Not found."
"0000001625","Kotler, Philip [et al.]. Principles of marketing. 8th ed. Singapore : Prentice Hall, c1999."
"0000005000","Jasmine, Julia. Teaching With Multiple Intelligence. Usa : Teacher Created Materials, c1996."
"0000005001","Sheridan, Richard B. The Filipino Martyrs : A Story Of The Crime Of February 4, 1899. Quezon City : New Day Publishers, c1989."
"0000005002","Ochosa, Orlino A. Pio Del Pilar And Other Heroes. Quezon City : New Day Publishers, c1997."
"0000005004","Miranda, Gregorio S. Human Resources Development. Rev ed. Manila : National Bookstore, c1982."
"0000005007","Not found."
"0000005008",
"0000005009",". Marcos Of The Philippines : A Pictorial Record Of Life And Deeds....... Hongkong : Raya Books, c."
"0000005010",
"0000005011",
"0000005012",
"0000005013",
"0000005014",
"0000005015",
"0000007000","Padasas, Teresita P. [et al.] Graphics:  Level 2. Metro Manila : Vibal Publishing, c1998."
"0000007001","Domingo, Lorna. Mastering Penmanship:  A worktext in writing for grade 1. Quezon City : Aklat Publishing House, c2001."
"0000007003","Art Test [et al.]. TEST. [s.n.] : [s.n.], c."
"0000007005","Punsalan, Twila G. Character education 4 : worktext in GMRC. Manila : Rex Bookstore, c2002."
"0000007007","Calamlam, Josephine M. [et al.] Huwaran 6 : batayang aklat sa wastong ugali at magandang asal para sa ikaanim na baitang. Manila : Rex Bookstore, c1998."
"0000007008","Domingo, Lorna. Mastering penmanship : a worktext in writing for grade 6. Quezon City : Aklat Publishing House, c2000."
"0000007010","Domingo, Lorna. Mastering penmanship : a worktext in writing for grade 4. Quezon City : Aklat Publishing House, c2001."
"0000007014",
"0000007015","Singson, Elvira B. A responsible Filipino : grade 5. Quezon City : Phoenix Publishing House, c1999."
"0000007016","Borlagdan, Jean B. [et al.] Huwaran : batayang aklat sa wastong pag-uugali at magandang asal para sa unang baitang. Manila : Rex Bookstore, c1998."
"0000007017","Balagtas, Manilyn U. [et al.] Huwaran : batayang aklat sa wastong ugali at magandang asal 2. Manila : Rex Bookstore, c1998."
"0000007018","Borlagdan, Jean B. Huwaran 5 : batayang aklat sa wastong ugali at magandang asal 5. Manila : Rex Bookstore, c1998."
"0000007019","Calamlam, Josephine N. [et al.] Huwaran : batayang aklat sa wastong ugali at magandang asal. Manila : Rex Book Store, c1998."
"0000007020","Almonte, Andrew Maria. Tassels of though : an anthology of anecdotes. Volume 4. Manila : St. Pauls, c1995."
"0000007021","Daza, Nora V. Let's cook with Nora : a treasury of Filipino, Chinese and European dishes...... Metro Manila : National Book Store, c1969."
"0000007022","Domingo, Lorna [et al.]. Mastering penmanship : a worktext in writing 1. Quezon City : Aklat Publishing House, c2001."
"0000007023","Padasas, Teresita P. [et al.] Graphics : level 2. Metro Manila : Vibal Publishing House, c1998."
"0000007024","Dickens, Charles. Oliver twist. England : Peter Huddock, c19?."
"0000007025","Cooper, Fenimore. The Last of the Mohicans. England : Peter Hoddack, c19?."
"0000007026","Coville, Bruce. Nightmare tales to make you scream. New York : Scholastic, c1995."
"0000007027","Coville, Bruce. Aliens tales to wrap your mind. New York : Scholastic, c1994."
"0000007028","Kendall, Carol. The Gammage cup. New York : Scholastic, c1959."
"0000007030","Gardner,  J.j. Quest for Camelot. New York : Scholastic Inc.,, c1998."
"0000007031","Gilmour, H.b. Godzilla, a junior novelization. New York : Scholastic, c1998."
"0000007032","Coville's, Bruce. Ghosts tales to haunt you. New York : Scholastic, c1994."
"0000007033","Gray, Elizabeth Janet. Adam of the road. New York : Scholastic Inc, c1942."
"0000007034","Shakespeare, William. Antony and Cleopatra. New York : Washington Square Press, c1961."
"0000007035","Shakespeare, William. The Tragedy of King Lear. New York : Washington Square Press, c1993."
"0000007036","Samson, Alexander R. [et al.] Computer integrated learning for the high schools. Manila : Rex Book Store, c1998."
"0000007037","Shakespeare, William. A Midsummer night's dream. New York : Washington Square, c1993."
"0000007038","Blyton, Guid. The Mystery of the vanished Prince. London : Mammoth, c1951."
"0000007039","Blyton, Guid. The Mystery of tally-ho cottage. London : Mammots, c1954."
"0000007040","Blyton, Guid. The Mystery of disappearing cat. London : Mammoth, c1944."
"0000007041","Blyton, Guid. The Mystery of the strange bundle. London : Mammoth, c1952."
"0000007042","Blyton, Guid. The Mystery of the pantomine cat. London : Mammoth, c1949."
"0000007043","Blyton, Guid. The Mystery of the missing necklace. London : Mammoth, c1945."
"0000007044","Blyton, Guid. The Mystery of invisible thief. London : Mammoth, c1950."
"0000007045","Blyton, Guid. The Mystery of the strange messages. London : Mammoth, c1957."
"0000007046","Chrichton, Michael. Jurassic Park. Britain : Michael Crichton, c1991."
"0000007047","Tapiador, Gerardo R. The Mysterious seed : a simplified manual on the tools and the........ Metro Manila : St. Pauls Publication, c1998."
"0000007048","Maramba, Asuncion D., Ed. Six modern Filipino heroes : Benigno S. Aquino Jr.,....... Metro Manila : Anvil Publishing, c1993."
"0000007049","Asay, Rolando A. Bagong sining ng komunikasyon, ikaapat na baitang : wika. Manila : National Bookstore, c1989."
"0000007050","Coralejo, Victoria A. Filipino sa makabagog panahon 1 : serye sa mabisang komunikasyon. Quezon City : Bookmark, c1981."
"0000007051","Mortola, Roseni G. Exploratory homemaking. Manila : Rex Bookstore, c1985."
"0000007052","Maribojoc, Lydia G. Bagong sining ng komunikasyon, pang mababang paaralan : unang baitang. Manila : National Bookstore, c1988."
"0000007053","Baterna, Nilda Ortiz. Pagsulong sa wika, unang baitang. Makati City : Salesiana Publishers, c1994."
"0000007054","Coralejo, Victoria A. Filipino sa makabagong panahon : wika ngayon 1. Quezon City : FNB Educational, c1994."
"0000007055","Tiburcio, Emiterio L. Comp. Isang dekada ng pagsunod sa iyo. Baliuag, Bulacan : Sangguniang Pastoral ng Parokya, c1998."
"0000007056","Santiago, Bernardita P. Filipino sa nagbabagong panahon, unang baitang. Rev. ed. Makati City : Salesiana Publishers, c1996."
"0000007057","Rumusud, Aurelia B. Ang wikang filipino ng mga Pilipino 1. Manila : St. Augustine Publications, c1995."
"0000007058","Punsalan, Twila G. Character education 3 : worktext in GMRC. Manila : Rex Bookstore, c2002."
"0000007059","Cornish, F.h. The Adventure of Tom Sawyer. Oxford : Heinemann, c1997."
"0000007060","Wright, Bob. The Tall Man Mystery. California : High Noon Books, c1984."
"0000007061","Santiago, Aurora L. Pilipinas kasaysayan at pamahalaan. 1st ed. Metro Manila : JO-ES Publishing, c1997."
"0000007062","Nolledo, Jose N. The Civil code of the Philippines. Rev. ed. Mandaluyong City : National Bookstore, c1998."
"0000007063","Santos, Rosario. Heroism in action. Quezon City : Vibal Publishing House, c1966."
"0000007065","Villacorte, Rolando E. Baliuag then and now. Manila : Pilipino Star Printing Co.,, c1985."
"0000007066","Belita, Jaime Cm. The Way of greater self : constructing a theology around a Filipino mythos. Manila : De La Salle University Press, c1991."
"0000007070","Mendoza, Amado M. Debts of dishonor. Volume 1. Quezon City : Philippine Rural Reconstruction Mov., c1991."
"0000007071","Ed. By La Vina, Antonio G.m. Law and ecology : a compilation of Philippines Laws and International Documents....... Mandaluyong City : Cacho Publishing House, c1991."
"0000007072","Leuterio, Florida C. Ekonomiks ngayon para sa ikatlong taon. Manila : St. Augustine Publication, c1997."
"0000007073","Gonzales, Andrew Fsc. Kasaysayan ng mundo. Quezon City : Phoenix Publishing House, c1998."
"0000007074","Zaide, Sonia M. The Philippines : a unique nation. Quezon City : All Nations Publishing, c1994."
"0000007075","Guerra, Restituta S. Ang Bayan ko. New ed. Quezon City : Abiva Publishing House, c1997."
"0000007077","Andres, Tomas Q. Developing positive behavior by Filipino values. Manila : Divine Word Publication, c1991."
"0000007078","Eugenio, Marites A. [et al.] Soaring high with music, art and P.E. Sampaloc, Manila : St Augustine Publications, Inc.,, c1995."
"0000007079","Sotto, Vicente C. Lll. The Filipino values : values and vision. Manila : Mary Jo Educational Supply, c1996."
"0000007080","Basbas, Leonora D. [et al.] Textbook in technology and home economics ll. Manila : Rex Bookstore, c1998."
"0000007081","Gonzalez, Andrew, Fsc. Sangwikaan, sining ng komunikasyon para sa mataas na paaralan 1. Quezon City : Phoenix Press, c1996."
"0000007082","Villamil, Aurora M. [et al.] Science and technology integrated science. Quezon City : Abiva Publishing House, c1997."
